city_1,city_2,paragraph_id,paragraph,article_id,title,NOUN,NOUN_clean,VERB,VERB_clean,ADJ,ADJ_clean
Vienna,Madrid,11,"Similar organizations in other countries followed: The Anthropological Society of Madrid (1865), the American Anthropological Association in 1902, the Anthropological Society of Vienna (1870), the Italian Society of Anthropology and Ethnology (1871), and many others subsequently. The majority of these were evolutionists. One notable exception was the Berlin Society for Anthropology, Ethnology, and Prehistory (1869) founded by Rudolph Virchow, known for his vituperative attacks on the evolutionists. Not religious himself, he insisted that Darwin's conclusions lacked empirical foundation.",569,Anthropology,"['organization', 'country', 'majority', 'evolutionist', 'exception', 'attack', 'evolutionist', 'conclusion', 'foundation']","['organization', 'country', 'majority', 'evolutionist', 'exception', 'attack', 'evolutionist', 'conclusion', 'foundation']","['follow', 'found', 'know', 'insist', 'lack']","['follow', 'found', 'know', 'insist', 'lack']","['similar', 'notable', 'vituperative', 'religious', 'empirical']","['similar', 'notable', 'vituperative', 'religious', 'empirical']"
Vienna,Berlin,12,"Similar organizations in other countries followed: The Anthropological Society of Madrid (1865), the American Anthropological Association in 1902, the Anthropological Society of Vienna (1870), the Italian Society of Anthropology and Ethnology (1871), and many others subsequently. The majority of these were evolutionists. One notable exception was the Berlin Society for Anthropology, Ethnology, and Prehistory (1869) founded by Rudolph Virchow, known for his vituperative attacks on the evolutionists. Not religious himself, he insisted that Darwin's conclusions lacked empirical foundation.",569,Anthropology,"['organization', 'country', 'majority', 'evolutionist', 'exception', 'attack', 'evolutionist', 'conclusion', 'foundation']","['organization', 'country', 'majority', 'evolutionist', 'exception', 'attack', 'evolutionist', 'conclusion', 'foundation']","['follow', 'found', 'know', 'insist', 'lack']","['follow', 'found', 'know', 'insist', 'lack']","['similar', 'notable', 'vituperative', 'religious', 'empirical']","['similar', 'notable', 'vituperative', 'religious', 'empirical']"
Madrid,Rome,13,"2002 opened with disappointment for Agassi, as injury forced him to skip the Australian Open, where he was a two-time defending champion. Agassi recovered from the injury and later that year defended his Key Biscayne title beating then rising Roger Federer in a four-set final. The last duel between Agassi and Sampras came in the final of the US Open, which Sampras won in four sets and left Sampras with a 20-14 edge in their 34 career meetings. The match was the last of Sampras's career. Agassi's US Open finish, along with his Masters Series victories in Key Biscayne, Rome and Madrid, helped him finish 2002 as the oldest year-end No. 2 at 32 years and 8 months.",595,Andre Agassi,"['disappointment', 'injury', 'time', 'champion', 'injury', 'year', 'title', 'final', 'duel', 'final', 'set', 'edge', 'career', 'meeting', 'match', 'career', 'finish', 'victory', 'year', 'end', 'year', 'month']","['disappointment', 'injury', 'time', 'champion', 'injury', 'year', 'title', 'final', 'duel', 'final', 'set', 'edge', 'career', 'meeting', 'match', 'career', 'finish', 'victory', 'year', 'end', 'year', 'month']","['open', 'force', 'skip', 'defend', 'recover', 'defend', 'beat', 'rise', 'set', 'come', 'win', 'leave', 'help', 'finish']","['open', 'force', 'skip', 'defend', 'recover', 'defend', 'beat', 'rise', 'set', 'come', 'win', 'leave', 'help', 'finish']","['australian', 'old']","['australian', 'old']"
Rome,Madrid,14,"2002 opened with disappointment for Agassi, as injury forced him to skip the Australian Open, where he was a two-time defending champion. Agassi recovered from the injury and later that year defended his Key Biscayne title beating then rising Roger Federer in a four-set final. The last duel between Agassi and Sampras came in the final of the US Open, which Sampras won in four sets and left Sampras with a 20-14 edge in their 34 career meetings. The match was the last of Sampras's career. Agassi's US Open finish, along with his Masters Series victories in Key Biscayne, Rome and Madrid, helped him finish 2002 as the oldest year-end No. 2 at 32 years and 8 months.",595,Andre Agassi,"['disappointment', 'injury', 'time', 'champion', 'injury', 'year', 'title', 'final', 'duel', 'final', 'set', 'edge', 'career', 'meeting', 'match', 'career', 'finish', 'victory', 'year', 'end', 'year', 'month']","['disappointment', 'injury', 'time', 'champion', 'injury', 'year', 'title', 'final', 'duel', 'final', 'set', 'edge', 'career', 'meeting', 'match', 'career', 'finish', 'victory', 'year', 'end', 'year', 'month']","['open', 'force', 'skip', 'defend', 'recover', 'defend', 'beat', 'rise', 'set', 'come', 'win', 'leave', 'help', 'finish']","['open', 'force', 'skip', 'defend', 'recover', 'defend', 'beat', 'rise', 'set', 'come', 'win', 'leave', 'help', 'finish']","['australian', 'old']","['australian', 'old']"
Barcelona,Toulouse,15,"Until the 20th century, Andorra had very limited transport links to the outside world, and development of the country was affected by its physical isolation. Even now, the nearest major airports at Toulouse and Barcelona are both three hours' drive from Andorra.",600,Andorra,"['century', 'transport', 'link', 'world', 'development', 'country', 'isolation', 'airport', 'hour', 'drive']","['century', 'transport', 'link', 'world', 'development', 'country', 'isolation', 'airport', 'hour', 'drive']","['limit', 'affect']","['limit', 'affect']","['20th', 'outside', 'physical', 'near', 'major']","['outside', 'physical', 'near', 'major']"
Toulouse,Barcelona,16,"Until the 20th century, Andorra had very limited transport links to the outside world, and development of the country was affected by its physical isolation. Even now, the nearest major airports at Toulouse and Barcelona are both three hours' drive from Andorra.",600,Andorra,"['century', 'transport', 'link', 'world', 'development', 'country', 'isolation', 'airport', 'hour', 'drive']","['century', 'transport', 'link', 'world', 'development', 'country', 'isolation', 'airport', 'hour', 'drive']","['limit', 'affect']","['limit', 'affect']","['20th', 'outside', 'physical', 'near', 'major']","['outside', 'physical', 'near', 'major']"
Barcelona,Toulouse,17,"Andorra has a road network of , of which is unpaved. The two main roads out of Andorra la Vella are the CG-1 to the Spanish border near Sant Julia de Loria, and the CG-2 to the French border via the Envalira Tunnel near El Pas de la Casa. Bus services cover all metropolitan areas and many rural communities, with services on most major routes running half-hourly or more frequently during peak travel times. There are frequent long-distance bus services from Andorra to Barcelona and Toulouse, plus a daily tour from the former city. Bus services mostly are run by private companies, but some local ones are operated by the government.",600,Andorra,"['road', 'network', 'road', 'border', 'border', 'bus', 'service', 'area', 'community', 'service', 'route', 'peak', 'travel', 'time', 'distance', 'bus', 'service', 'tour', 'city', 'bus', 'service', 'company', 'one', 'government']","['road', 'network', 'road', 'border', 'border', 'bus', 'service', 'area', 'community', 'service', 'route', 'peak', 'travel', 'time', 'distance', 'bus', 'service', 'tour', 'city', 'bus', 'service', 'company', 'one', 'government']","['cover', 'run', 'run', 'operate']","['cover', 'run', 'run', 'operate']","['unpaved', 'main', 'spanish', 'french', 'metropolitan', 'rural', 'major', 'hourly', 'frequent', 'long', 'daily', 'private', 'local']","['unpaved', 'main', 'spanish', 'french', 'metropolitan', 'rural', 'major', 'hourly', 'frequent', 'long', 'daily', 'private', 'local']"
Toulouse,Barcelona,18,"Andorra has a road network of , of which is unpaved. The two main roads out of Andorra la Vella are the CG-1 to the Spanish border near Sant Julia de Loria, and the CG-2 to the French border via the Envalira Tunnel near El Pas de la Casa. Bus services cover all metropolitan areas and many rural communities, with services on most major routes running half-hourly or more frequently during peak travel times. There are frequent long-distance bus services from Andorra to Barcelona and Toulouse, plus a daily tour from the former city. Bus services mostly are run by private companies, but some local ones are operated by the government.",600,Andorra,"['road', 'network', 'road', 'border', 'border', 'bus', 'service', 'area', 'community', 'service', 'route', 'peak', 'travel', 'time', 'distance', 'bus', 'service', 'tour', 'city', 'bus', 'service', 'company', 'one', 'government']","['road', 'network', 'road', 'border', 'border', 'bus', 'service', 'area', 'community', 'service', 'route', 'peak', 'travel', 'time', 'distance', 'bus', 'service', 'tour', 'city', 'bus', 'service', 'company', 'one', 'government']","['cover', 'run', 'run', 'operate']","['cover', 'run', 'run', 'operate']","['unpaved', 'main', 'spanish', 'french', 'metropolitan', 'rural', 'major', 'hourly', 'frequent', 'long', 'daily', 'private', 'local']","['unpaved', 'main', 'spanish', 'french', 'metropolitan', 'rural', 'major', 'hourly', 'frequent', 'long', 'daily', 'private', 'local']"
Madrid,Palma de Mallorca,19,"There are no airports for fixed-wing aircraft within Andorra's borders but there are, however, heliports in La Massana (Cami Heliport), Arinsal and Escaldes-Engordany with commercial helicopter services and an airport located in the neighbouring Spanish comarca of Alt Urgell, south of the Andorran-Spanish border. Since July 2015, Andorra-La Seu d'Urgell Airport has operated commercial flights to Madrid and Palma de Mallorca, and is the main hub for Air Andorra and Andorra Airlines. As of 11 July 2018, there are no regular commercial flights at the airport.",600,Andorra,"['airport', 'wing', 'aircraft', 'border', 'heliport', 'helicopter', 'service', 'airport', 'comarca', 'south', 'border', 'flight', 'hub', 'flight', 'airport']","['airport', 'wing', 'aircraft', 'border', 'heliport', 'helicopter', 'service', 'airport', 'comarca', 'south', 'border', 'flight', 'hub', 'flight', 'airport']","['fix', 'locate', 'neighbour', 'operate']","['fix', 'locate', 'neighbour', 'operate']","['commercial', 'spanish', 'spanish', 'commercial', 'main', 'regular', 'commercial']","['commercial', 'spanish', 'spanish', 'commercial', 'main', 'regular', 'commercial']"
Palma de Mallorca,Madrid,20,"There are no airports for fixed-wing aircraft within Andorra's borders but there are, however, heliports in La Massana (Cami Heliport), Arinsal and Escaldes-Engordany with commercial helicopter services and an airport located in the neighbouring Spanish comarca of Alt Urgell, south of the Andorran-Spanish border. Since July 2015, Andorra-La Seu d'Urgell Airport has operated commercial flights to Madrid and Palma de Mallorca, and is the main hub for Air Andorra and Andorra Airlines. As of 11 July 2018, there are no regular commercial flights at the airport.",600,Andorra,"['airport', 'wing', 'aircraft', 'border', 'heliport', 'helicopter', 'service', 'airport', 'comarca', 'south', 'border', 'flight', 'hub', 'flight', 'airport']","['airport', 'wing', 'aircraft', 'border', 'heliport', 'helicopter', 'service', 'airport', 'comarca', 'south', 'border', 'flight', 'hub', 'flight', 'airport']","['fix', 'locate', 'neighbour', 'operate']","['fix', 'locate', 'neighbour', 'operate']","['commercial', 'spanish', 'spanish', 'commercial', 'main', 'regular', 'commercial']","['commercial', 'spanish', 'spanish', 'commercial', 'main', 'regular', 'commercial']"
Barcelona,Toulouse,21,"Nearby airports located in Spain and France provide access to international flights for the principality. The nearest airports are at Perpignan, France ( from Andorra) and Lleida, Spain ( from Andorra). The largest nearby airports are at Toulouse, France ( from Andorra) and Barcelona, Spain ( from Andorra). There are hourly bus services from both Barcelona and Toulouse airports to Andorra.",600,Andorra,"['airport', 'access', 'flight', 'principality', 'airport', 'airport', 'bus', 'service', 'airport']","['airport', 'access', 'flight', 'principality', 'airport', 'airport', 'bus', 'service', 'airport']","['locate', 'provide']","['locate', 'provide']","['nearby', 'international', 'near', 'large', 'nearby', 'hourly']","['nearby', 'international', 'near', 'large', 'nearby', 'hourly']"
Toulouse,Barcelona,22,"Nearby airports located in Spain and France provide access to international flights for the principality. The nearest airports are at Perpignan, France ( from Andorra) and Lleida, Spain ( from Andorra). The largest nearby airports are at Toulouse, France ( from Andorra) and Barcelona, Spain ( from Andorra). There are hourly bus services from both Barcelona and Toulouse airports to Andorra.",600,Andorra,"['airport', 'access', 'flight', 'principality', 'airport', 'airport', 'bus', 'service', 'airport']","['airport', 'access', 'flight', 'principality', 'airport', 'airport', 'bus', 'service', 'airport']","['locate', 'provide']","['locate', 'provide']","['nearby', 'international', 'near', 'large', 'nearby', 'hourly']","['nearby', 'international', 'near', 'large', 'nearby', 'hourly']"
Paris,Barcelona,23,"The nearest railway station is Andorre-L'Hospitalet station east of Andorra which is on the -gauge line from Latour-de-Carol () southeast of Andorra, to Toulouse and on to Paris by the French high-speed trains. This line is operated by the SNCF. Latour-de-Carol has a scenic trainline to Villefranche-de-Conflent, as well as the SNCF's gauge line connecting to Perpignan, and the Renfe's -gauge line to Barcelona. There are also direct Intercites de Nuit trains between L'Hospitalet-pres-l'Andorre and Paris on certain dates.",600,Andorra,"['railway', 'station', 'station', 'line', 'speed', 'train', 'line', 'trainline', 'de', 'gauge', 'line', 'line', 'train', 'date']","['railway', 'station', 'station', 'line', 'speed', 'train', 'line', 'trainline', 'de', 'gauge', 'line', 'line', 'train', 'date']","['operate', 'connect']","['operate', 'connect']","['near', 'gauge', 'french', 'high', 'scenic', 'gauge', 'direct', 'certain']","['near', 'gauge', 'french', 'high', 'scenic', 'gauge', 'direct', 'certain']"
Paris,Toulouse,24,"The nearest railway station is Andorre-L'Hospitalet station east of Andorra which is on the -gauge line from Latour-de-Carol () southeast of Andorra, to Toulouse and on to Paris by the French high-speed trains. This line is operated by the SNCF. Latour-de-Carol has a scenic trainline to Villefranche-de-Conflent, as well as the SNCF's gauge line connecting to Perpignan, and the Renfe's -gauge line to Barcelona. There are also direct Intercites de Nuit trains between L'Hospitalet-pres-l'Andorre and Paris on certain dates.",600,Andorra,"['railway', 'station', 'station', 'line', 'speed', 'train', 'line', 'trainline', 'de', 'gauge', 'line', 'line', 'train', 'date']","['railway', 'station', 'station', 'line', 'speed', 'train', 'line', 'trainline', 'de', 'gauge', 'line', 'line', 'train', 'date']","['operate', 'connect']","['operate', 'connect']","['near', 'gauge', 'french', 'high', 'scenic', 'gauge', 'direct', 'certain']","['near', 'gauge', 'french', 'high', 'scenic', 'gauge', 'direct', 'certain']"
Barcelona,Paris,25,"The nearest railway station is Andorre-L'Hospitalet station east of Andorra which is on the -gauge line from Latour-de-Carol () southeast of Andorra, to Toulouse and on to Paris by the French high-speed trains. This line is operated by the SNCF. Latour-de-Carol has a scenic trainline to Villefranche-de-Conflent, as well as the SNCF's gauge line connecting to Perpignan, and the Renfe's -gauge line to Barcelona. There are also direct Intercites de Nuit trains between L'Hospitalet-pres-l'Andorre and Paris on certain dates.",600,Andorra,"['railway', 'station', 'station', 'line', 'speed', 'train', 'line', 'trainline', 'de', 'gauge', 'line', 'line', 'train', 'date']","['railway', 'station', 'station', 'line', 'speed', 'train', 'line', 'trainline', 'de', 'gauge', 'line', 'line', 'train', 'date']","['operate', 'connect']","['operate', 'connect']","['near', 'gauge', 'french', 'high', 'scenic', 'gauge', 'direct', 'certain']","['near', 'gauge', 'french', 'high', 'scenic', 'gauge', 'direct', 'certain']"
Barcelona,Toulouse,26,"The nearest railway station is Andorre-L'Hospitalet station east of Andorra which is on the -gauge line from Latour-de-Carol () southeast of Andorra, to Toulouse and on to Paris by the French high-speed trains. This line is operated by the SNCF. Latour-de-Carol has a scenic trainline to Villefranche-de-Conflent, as well as the SNCF's gauge line connecting to Perpignan, and the Renfe's -gauge line to Barcelona. There are also direct Intercites de Nuit trains between L'Hospitalet-pres-l'Andorre and Paris on certain dates.",600,Andorra,"['railway', 'station', 'station', 'line', 'speed', 'train', 'line', 'trainline', 'de', 'gauge', 'line', 'line', 'train', 'date']","['railway', 'station', 'station', 'line', 'speed', 'train', 'line', 'trainline', 'de', 'gauge', 'line', 'line', 'train', 'date']","['operate', 'connect']","['operate', 'connect']","['near', 'gauge', 'french', 'high', 'scenic', 'gauge', 'direct', 'certain']","['near', 'gauge', 'french', 'high', 'scenic', 'gauge', 'direct', 'certain']"
Toulouse,Paris,27,"The nearest railway station is Andorre-L'Hospitalet station east of Andorra which is on the -gauge line from Latour-de-Carol () southeast of Andorra, to Toulouse and on to Paris by the French high-speed trains. This line is operated by the SNCF. Latour-de-Carol has a scenic trainline to Villefranche-de-Conflent, as well as the SNCF's gauge line connecting to Perpignan, and the Renfe's -gauge line to Barcelona. There are also direct Intercites de Nuit trains between L'Hospitalet-pres-l'Andorre and Paris on certain dates.",600,Andorra,"['railway', 'station', 'station', 'line', 'speed', 'train', 'line', 'trainline', 'de', 'gauge', 'line', 'line', 'train', 'date']","['railway', 'station', 'station', 'line', 'speed', 'train', 'line', 'trainline', 'de', 'gauge', 'line', 'line', 'train', 'date']","['operate', 'connect']","['operate', 'connect']","['near', 'gauge', 'french', 'high', 'scenic', 'gauge', 'direct', 'certain']","['near', 'gauge', 'french', 'high', 'scenic', 'gauge', 'direct', 'certain']"
Toulouse,Barcelona,28,"The nearest railway station is Andorre-L'Hospitalet station east of Andorra which is on the -gauge line from Latour-de-Carol () southeast of Andorra, to Toulouse and on to Paris by the French high-speed trains. This line is operated by the SNCF. Latour-de-Carol has a scenic trainline to Villefranche-de-Conflent, as well as the SNCF's gauge line connecting to Perpignan, and the Renfe's -gauge line to Barcelona. There are also direct Intercites de Nuit trains between L'Hospitalet-pres-l'Andorre and Paris on certain dates.",600,Andorra,"['railway', 'station', 'station', 'line', 'speed', 'train', 'line', 'trainline', 'de', 'gauge', 'line', 'line', 'train', 'date']","['railway', 'station', 'station', 'line', 'speed', 'train', 'line', 'trainline', 'de', 'gauge', 'line', 'line', 'train', 'date']","['operate', 'connect']","['operate', 'connect']","['near', 'gauge', 'french', 'high', 'scenic', 'gauge', 'direct', 'certain']","['near', 'gauge', 'french', 'high', 'scenic', 'gauge', 'direct', 'certain']"
